"ANTISENSE THERAPEUTICS LIMITED","ANP","Pharmaceuticals, Biotechnology & Life Sciences"
"ANVIL MINING LIMITED","AVM","Materials"
"AP EAGERS LIMITED","APE","Retailing"
"APA FINANCIAL SERVICES LTD","APP","Diversified Financials"
"APA GROUP","APA","Utilities"
"APAC COAL LIMITED","AAL","Energy"
"APEX MINERALS NL","AXM","Materials"
"APHRODITE GOLD LIMITED","AQQ","Materials"
"APN EUROPEAN RETAIL PROPERTY GROUP","AEZ","Real Estate"
"APN NEWS & MEDIA LIMITED","APN","Media"
"APN PROPERTY GROUP LIMITED","APD","Diversified Financials"
"APOLLO CONSOLIDATED LIMITED","AOP","Pharmaceuticals, Biotechnology & Life Sciences"
"APOLLO MINERALS LIMITED","AON","Materials"
"APOLLO SERIES 2005-1E TRUST","AOZ","GICS Sector Code Not Applicable"
"APOLLO SERIES 2005-2 TRUST.","APQ","GICS Sector Code Not Applicable"
"APOLLO SERIES 2006-1E TRUST","APJ","GICS Sector Code Not Applicable"
"APOLLO SERIES 2007-1E TRUST","AOY","GICS Sector Code Not Applicable"
"APOLLO SERIES 2010-1 TRUST","AOJ","GICS Sector Code Not Applicable"
"AQUARIUS PLATINUM LIMITED","AQP","Materials"
"AQUILA RESOURCES LIMITED","AQA","Energy"
"ARAFURA PEARLS HOLDINGS LIMITED","APB","Consumer Durables & Apparel"
"ARAFURA RESOURCES LIMITED","ARU","Materials"
"ARAGON RESOURCES LIMITED","AAG","Materials"
"ARASOR INTERNATIONAL LIMITED","ARR","Technology Hardware & Equipment"
"ARB CORPORATION LIMITED","ARP","Retailing"
"ARC EXPLORATION LIMITED","ARX","Materials"
"ARCHER EXPLORATION LIMITED","AXE","Materials"
"ARDENT LEISURE GROUP","AAD","Real Estate"
"ARGENT MINERALS LIMITED","ARD","Materials"
"ARGENTINA MINING LIMITED","AVK","Materials"
"ARGO EXPLORATION LIMITED","AXT","Materials"
"ARGO INVESTMENTS LIMITED","ARG","Diversified Financials"
"ARGONAUT RESOURCES NL","ARE","Materials"
"ARGOSY MINERALS LIMITED","AGY","Materials"
"ARIADNE AUSTRALIA LIMITED","ARA","Real Estate"
"ARISTOCRAT LEISURE LIMITED","ALL","Consumer Services"
"ARK FUND LIMITED (THE)","ARJ","Real Estate"
"ARK MINES LIMITED","AHK","Classification Pending"
"ARMSTRONG JONES OFFICE FUND","AJO","Real Estate"
"ARTEMIS RESOURCES LIMITED","ARV","Materials"
"ARTIST & ENTERTAINMENT GROUP LIMITED","AEM","Consumer Services"
"ARTURUS CAPITAL LIMITED","AKW","Pharmaceuticals, Biotechnology & Life Sciences"
"ARUMA RESOURCES LIMITED","AAJ","Materials"
"ASCENT PHARMAHEALTH LTD","APH","Pharmaceuticals, Biotechnology & Life Sciences"
"ASCIANO LIMITED","AIO","Transportation"
"ASF GROUP LIMITED","AFA","Diversified Financials"
"ASG GROUP LIMITED","ASZ","Software & Services"
"ASHBURTON MINERALS LIMITED","ATN","Materials"
"ASIAN CENTRE FOR LIVER DISEASES AND TRANSPLANTATION LIMITED","AJJ","Health Care Equipment & Services"
"ASIAN DEVELOPMENT BANK","ATB","GICS Sector Code Not Applicable"
"ASIAN MASTERS FUND LIMITED","AUF","Diversified Financials"
"ASIAN PACIFIC LIMITED","AAS","Software & Services"
"ASK FUNDING LIMITED","AKF","Diversified Financials"
"ASPEN GROUP","APZ","Real Estate"
"ASPERMONT LIMITED.","ASP","Media"
"ASPIRE MINING LIMITED","AKM","Materials"
"ASQ FINANCIAL GROUP LIMITED","ASQ","Diversified Financials"
"ASTIVITA RENEWABLES LIMITED","AIR","Capital Goods"
"ASTON RESOURCES LIMITED","AZT","Materials"
"ASTRO JAPAN PROPERTY GROUP","AJA","Real Estate"
"ASTRO RESOURCES NL","ARO","Materials"
"ASTRON LIMITED","ATR","Materials"
"ASX LIMITED","ASX","Diversified Financials"
"ATCOR MEDICAL HOLDINGS LIMITED","ACG","Health Care Equipment & Services"
"ATECH HOLDINGS LIMITED","ATH","Consumer Services"
"ATHENA RESOURCES LIMITED","AHN","Materials"
"ATLANTIC GOLD NL","ATV","Materials"
"ATLANTIC LIMITED","ATI","Materials"
"ATLAS IRON LIMITED","AGO","Materials"
"ATLAS SOUTH SEA PEARL LIMITED","ATP","Consumer Durables & Apparel"
"ATOMIC RESOURCES LIMITED","ATQ","Energy"
"ATOS WELLNESS LTD","ATW","Health Care Equipment & Services"
"ATTICUS RESOURCES LIMITED","ACZ","Materials"
"ATTILA RESOURCES LIMITED","AYA","Materials"
"AUCKLAND INTERNATIONAL AIRPORT LIMITED","AIA","Transportation"
"AUDIO PIXELS HOLDINGS LIMITED","AKP","Real Estate"
"AUGUR RESOURCES LIMITED","AUK","Materials"
"AURA ENERGY LIMITED","AEE","Energy"
"AURIUM RESOURCES LIMITED","AGU","Materials"
"AURORA ABSOLUTE RETURN FUND","ABW","Diversified Financials"
"AURORA FUNDS LIMITED","AFV","Diversified Financials"
"AURORA GLOBAL INCOME TRUST","AIB","Diversified Financials"
"AURORA MINERALS LIMITED","ARM","Materials"
"AURORA OIL & GAS LIMITED","AUT","Energy"
"AURORA PROPERTY BUY-WRITE INCOME TRUST","AUP","Real Estate"
"AURORA SANDRINGHAM DIVIDEND INCOME TRUST","AOD","Diversified Financials"
"AUSDRILL LIMITED","ASL","Materials"
"AUSENCO LIMITED","AAX","Capital Goods"
"AUSGOLD LIMITED","AUC","Materials"
"AUSMON RESOURCES LIMITED","AOA","Materials"
"AUSNICO LIMITED","ANW","Materials"
"AUSQUEST LIMITED","AQD","Materials"
"AUSSIE Q RESOURCES LIMITED","AQR","Materials"
"AUSTAL LIMITED","ASB","Capital Goods"
"AUSTAR UNITED COMMUNICATIONS LIMITED","AUN","Media"
"AUSTBROKERS HOLDINGS LIMITED","AUB","Insurance"
"AUSTEREO GROUP LIMITED","AEO","Media"
"AUSTEX OIL LIMITED","AOK","Energy"
"AUSTIN ENGINEERING LIMITED","ANG","Capital Goods"
"AUSTIN EXPLORATION LIMITED","AKK","Energy"
"AUSTOCK GROUP LIMITED","ACK","Diversified Financials"
"AUSTOFIX GROUP LIMITED","AYX","Health Care Equipment & Services"
"AUSTPAC RESOURCES NL","APG","Materials"
"AUSTRAL GOLD LIMITED","AGD","Materials"
"AUSTRALAND ASSETS TRUST","AAZ","Real Estate"
"AUSTRALAND PROPERTY GROUP","ALZ","Real Estate"
"AUSTRALASIA CONSOLIDATED LIMITED","AAO","Materials"
"AUSTRALASIAN RESOURCES LIMITED","ARH","Materials"
"AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED","ANZ","Banks"
"AUSTRALIA CHINA HOLDINGS LIMITED","AAK","Real Estate"
"AUSTRALIA MINERALS AND MINING GROUP LTD","AKA","Materials"
"AUSTRALIA ORIENTAL MINERALS NL","AOM","Materials"
"AUSTRALIAN AGRICULTURAL COMPANY LIMITED.","AAC","Food Beverage & Tobacco"
"AUSTRALIAN BAUXITE LIMITED","ABZ","Materials"
"AUSTRALIAN COMMONWEALTH GOVERNMENT LOANS","XCL","GICS Sector Code Not Applicable"
"AUSTRALIAN EDUCATION TRUST","AEU","Real Estate"
"AUSTRALIAN ENHANCED INCOME FUND","AYF","GICS Sector Code Not Applicable"
"AUSTRALIAN ETHICAL INVESTMENT LIMITED","AEF","Diversified Financials"
"AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED","AFI","Diversified Financials"
"AUSTRALIAN GOVERNANCE MASTERS INDEX FUND LIMITED","AQF","Diversified Financials"
"AUSTRALIAN INFRASTRUCTURE FUND","AIX","Transportation"
"AUSTRALIAN LEADERS FUND LIMITED","ALF","Diversified Financials"
"AUSTRALIAN MASTERS CORPORATE BOND FUND NO 1 LIMITED","AKS","Diversified Financials"
"AUSTRALIAN MASTERS CORPORATE BOND FUND NO 2 LIMITED","AKT","Diversified Financials"
"AUSTRALIAN MASTERS CORPORATE BOND FUND NO 3 LIMITED","AKU","Diversified Financials"
"AUSTRALIAN MINES LIMITED","AUZ","Materials"
"AUSTRALIAN OIL COMPANY LIMITED","AOC","Energy"
"AUSTRALIAN PACIFIC COAL LIMITED","AQC","Materials"
"AUSTRALIAN PHARMACEUTICAL INDUSTRIES LIMITED","API","Health Care Equipment & Services"
"AUSTRALIAN POWER AND GAS COMPANY LIMITED","APK","Utilities"
"AUSTRALIAN RENEWABLE FUELS LIMITED","ARW","Energy"
"AUSTRALIAN RURAL GROUP LIMITED","ASR","Diversified Financials"
"AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED","AUI","Diversified Financials"
"AUSTRALIAN UNITY LIMITED","AYU","Classification Pending"
"AUSTRALIAN VINTAGE LTD","AVG","Food Beverage & Tobacco"
"AUSTRALIAN ZIRCON NL","AZC","Materials"
"AUSTRALIAN-AMERICAN MINING CORPORATION LIMITED","AIW","Materials"
"AUSTRALIS MINING CORPORATION LIMITED","AUV","Materials"
"AUTHORISED INVESTMENT FUND LIMITED","AIY","GICS Sector Code Not Applicable"
"AUTODOM LIMITED","AIE","Capital Goods"
"AUTOMOTIVE HOLDINGS GROUP LIMITED","AHE","Retailing"
"AUTOMOTIVE TECHNOLOGY GROUP LIMITED","ATJ","Automobile & Components"
"AUTRON CORPORATION LIMITED","AAT","Technology Hardware & Equipment"
"AUZEX RESOURCES LIMITED","AZX","Materials"
"AVALON MINERALS LIMITED","AVI","Materials"
"AVANCO RESOURCES LIMITED","AVB","Materials"
"AVASTRA SLEEP CENTRES LIMITED","AVS","Health Care Equipment & Services"
"AVENUE RESOURCES LIMITED","AVY","Materials"
"AVEXA LIMITED","AVX","Pharmaceuticals, Biotechnology & Life Sciences"
"AVITA MEDICAL LTD","AVH","Pharmaceuticals, Biotechnology & Life Sciences"
"AVIVA CORPORATION LIMITED","AVA","Materials"
"AVJENNINGS LIMITED","AVJ","Real Estate"
"AVONLEA MINERALS LIMITED","AVZ","Materials"
"AWE LIMITED","AWE","Energy"
"AXA","AXJ","GICS Sector Code Not Applicable"
"AXG MINING LIMITED","AXC","Materials"
"AXIOM MINING LIMITED","AVQ","Materials"
"AXIOM PROPERTIES LIMITED","AXI","Real Estate"
"AZIMUTH RESOURCES LIMITED","AZH","Materials"
"AZUMAH RESOURCES LIMITED","AZM","Materials"
"AZURE MINERALS LIMITED","AZS","Materials"
"AZURN INTERNATIONAL LIMITED","AZU","Software & Services"
"BAILEY MINERALS NL","BAA","Materials"
"BANDANNA ENERGY LIMITED","BND","Energy"
"BANK OF QUEENSLAND LIMITED.","BOQ","Banks"
"BANK OF SCOTLAND PLC","BNS","GICS Sector Code Not Applicable"
"BANNERMAN RESOURCES LIMITED","BMN","Materials"
"BARAKA ENERGY & RESOURCES LIMITED","BKP","Energy"
"BARRA RESOURCES LIMITED","BAR","Materials"
"BASE RESOURCES LIMITED","BSE","Materials"
"BASS METALS LTD","BSM","Materials"
"BASS STRAIT OIL COMPANY LIMITED","BAS","Energy"
"BASSARI RESOURCES LIMITED","BSR","Materials"
"BATHURST RESOURCES LIMITED","BTU","Materials"
"BAUXITE RESOURCES LIMITED","BAU","Materials"
"BBX HOLDINGS LIMITED","BBX","Diversified Financials"
"BC IRON LIMITED","BCI","Materials"
"BCD RESOURCES (OPERATIONS) NL","BCO","Materials"
"BCD RESOURCES NL","BCD","Materials"
"BEACH ENERGY LIMITED","BPT","Energy"
"BEACON MINERALS LIMITED","BCN","Materials"
"BEADELL RESOURCES LIMITED","BDR","Materials"
"BEAUTY HEALTH GROUP LIMITED","BHG","Software & Services"
"BECTON PROPERTY GROUP","BEC","Real Estate"
"BELL FINANCIAL GROUP LIMITED","BFG","Diversified Financials"
"BELLA TRUST SERIES 2009-1","BNY","GICS Sector Code Not Applicable"
"BELLA TRUST SERIES 2010-1","BNN","GICS Sector Code Not Applicable"
"BELLA TRUST SERIES 2010-2","BNH","GICS Sector Code Not Applicable"
"BENDIGO AND ADELAIDE BANK LIMITED","BEN","Banks"
"BENITEC LIMITED","BLT","Pharmaceuticals, Biotechnology & Life Sciences"
"BENTLEY CAPITAL LIMITED","BEL","Diversified Financials"
"BERKELEY RESOURCES LIMITED","BKY","Energy"
"BERKLEE LIMITED","BER","Automobile & Components"
"BETASHARES S&P/ASX 200 FINANCIALS SECTOR ETF (SYNTHETIC)","QFN","GICS Sector Code Not Applicable"
"BETASHARES S&P/ASX 200 RESOURCES SECTOR ETF (SYNTHETIC)","QRE","GICS Sector Code Not Applicable"
"BETASHARES U.S. DOLLAR ETF","USD","GICS Sector Code Not Applicable"
"BEYOND INTERNATIONAL LIMITED","BYI","Media"
"BEYOND SPORTSWEAR INTERNATIONAL LIMITED","BSI","Retailing"
"BHP BILLITON LIMITED","BHP","Materials"
"BIGAIR GROUP LIMITED","BGL","Telecommunication Services"
"BILLABONG INTERNATIONAL LIMITED","BBG","Consumer Durables & Apparel"
"BIODIEM LIMITED","BDM","Pharmaceuticals, Biotechnology & Life Sciences"
"BIOMD LIMITED","BOD","Health Care Equipment & Services"
"BIONICHE LIFE SCIENCES INC.","BNC","Pharmaceuticals, Biotechnology & Life Sciences"
"BIONOMICS LIMITED","BNO","Pharmaceuticals, Biotechnology & Life Sciences"
"BIOPROSPECT LIMITED","BPO","Pharmaceuticals, Biotechnology & Life Sciences"
"BIOTA HOLDINGS LIMITED","BTA","Pharmaceuticals, Biotechnology & Life Sciences"
"BIOTECH CAPITAL LIMITED","BTC","Pharmaceuticals, Biotechnology & Life Sciences"
"BIOTRON LIMITED","BIT","Pharmaceuticals, Biotechnology & Life Sciences"
"BIRON APPAREL LIMITED","BIC","Retailing"
"BISALLOY STEEL GROUP LIMITED","BIS","Capital Goods"
"BISAN LIMITED","BSN","Diversified Financials"
"BKI INVESTMENT COMPANY LIMITED","BKI","Diversified Financials"
"BKM MANAGEMENT LIMITED","BKM","Consumer Durables & Apparel"
"BLACK FIRE MINERALS LTD","BFE","Materials"
"BLACK MOUNTAIN RESOURCES LIMITED","BMZ","Materials"
"BLACK RANGE MINERALS LIMITED","BLR","Materials"
"BLACK RIDGE MINING NL","BRD","Materials"
"BLACKCREST RESOURCES LIMITED","BCR","Diversified Financials"
"BLACKGOLD INTERNATIONAL HOLDINGS LIMITED","BGG","Energy"
"BLACKHAM RESOURCES LIMITED","BLK","Materials"
"BLACKMORES LIMITED","BKL","Health Care Equipment & Services"
"BLACKTHORN RESOURCES LIMITED","BTR","Materials"
"BLACKWOOD CORPORATION LIMITED","BWD","Materials"
"BLAZE INTERNATIONAL LIMITED","BLZ","Materials"
"BLINA MINERALS NL","BDI","Materials"
"BLUE CAPITAL LIMITED","BIV","Diversified Financials"
"BLUE ENERGY LIMITED","BUL","Energy"
"BLUECHIIP LIMITED","BCT","Classification Pending"
"BLUESCOPE STEEL LIMITED","BSL","Materials"
"BLUGLASS LIMITED","BLG","Semiconductors & Semiconductor Equipment"
"BOART LONGYEAR LIMITED","BLY","Capital Goods"
"BONDI MINING LIMITED","BOM","Materials"
"BONE MEDICAL LIMITED","BNE","Pharmaceuticals, Biotechnology & Life Sciences"
"BOOM LOGISTICS LIMITED","BOL","Capital Goods"
"BORAL LIMITED.","BLD","Materials"
"BOSS ENERGY LIMITED","BOE","Energy"
"BOTSWANA METALS LIMITED","BML","Materials"
"BOUGAINVILLE COPPER LIMITED","BOC","Materials"
"BOULDER STEEL LIMITED","BGD","Materials"
"BOUNTY MINING LTD","BNT","Energy"
"BOUNTY OIL & GAS NL","BUY","Energy"
"BOW ENERGY LIMITED","BOW","Energy"
"BOWEN ENERGY LIMITED","BWN","Energy"
"BPH ENERGY LTD","BPH","Pharmaceuticals, Biotechnology & Life Sciences"
"BRADKEN LIMITED","BKN","Capital Goods"
"BRAIN RESOURCE LIMITED","BRC","Health Care Equipment & Services"
"BRAMBLES LIMITED","BXB","Commercial & Professional Services"
"BRAND NEW VINTAGE LIMITED","BNV","Food Beverage & Tobacco"
"BRAVURA SOLUTIONS LIMITED","BVA","Software & Services"
"BRAZILIAN METALS GROUP LIMITED.","BMG","Materials"
"BRAZIRON LIMITED","BZL","Materials"
"BREAKAWAY RESOURCES LIMITED","BRW","Materials"
"BREMER PARK LIMITED","BPK","Capital Goods"
"BREVILLE GROUP LIMITED","BRG","Retailing"
"BRICKWORKS LIMITED","BKW","Materials"
"BRIERTY LIMITED","BYL","Capital Goods"
"BRIGHT STAR RESOURCES LIMITED","BUT","Materials"
"BRIGHTON MINING GROUP LIMITED","BTN","Materials"
"BRISBANE BRONCOS LIMITED","BBL","Media"
"BRISBANE CITY COUNCIL","XQB","GICS Sector Code Not Applicable"
"BRISCONNECTIONS UNIT TRUSTS","BCS","Transportation"
"BROAD INVESTMENTS LIMITED","BRO","Telecommunication Services"
"BROCKMAN RESOURCES LIMITED","BRM","Materials"
"BROKEN HILL PROSPECTING LIMITED","BPL","Materials"
"BROOKFIELD AUSTRALIAN OPPORTUNITIES FUND","BAO","Real Estate"
"BROOKFIELD PRIME PROPERTY FUND","BPA","Real Estate"
"BROOKFIELD SECURED BONDS SERIES A ISSUER LIMITED","BZA","GICS Sector Code Not Applicable"
"BROOKFIELD SECURED BONDS SERIES B ISSUER LIMITED","BZB","GICS Sector Code Not Applicable"
"BRUMBY RESOURCES LIMITED","BMY","Materials"
"BSA LIMITED","BSA","Media"
"BT INVESTMENT MANAGEMENT LIMITED","BTT","Diversified Financials"
"BUCCANEER ENERGY LIMITED","BCC","Energy"
"BUCHANAN RESOURCES LIMITED","BUC","Classification Pending"
"BUDERIM GINGER LIMITED","BUG","Food Beverage & Tobacco"
"BULLETIN RESOURCES LIMITED","BNR","Materials"
"BUREY GOLD LIMITED","BYR","Materials"
"BURLESON ENERGY LIMITED","BUR","Energy"
"BURRUP HOLDINGS LIMITED","BOY","Classification Pending"
"BURU ENERGY LIMITED","BRU","Energy"
"BUXTON RESOURCES LIMITED","BUX","Materials"
"BWP TRUST","BWP","Real Estate"
"BYTE POWER GROUP LIMITED","BPG","Software & Services"
"C @ LIMITED","CEO","Health Care Equipment & Services"
"CABCHARGE AUSTRALIA LIMITED","CAB","Commercial & Professional Services"
"CABRAL RESOURCES LIMITED","CBS","Diversified Financials"
"CADENCE CAPITAL LIMITED","CDM","Diversified Financials"
"CALEDON RESOURCES PLC","CCD","Materials"
"CALLABONNA URANIUM LTD","CUU","Energy"
"CALLIDEN GROUP LIMITED","CIX","Insurance"
"CALTEX AUSTRALIA LIMITED","CTX","Energy"
"CALZADA LIMITED","CZD","Pharmaceuticals, Biotechnology & Life Sciences"
"CAMPBELL BROTHERS LIMITED","CPB","Commercial & Professional Services"
"CANADA LAND LIMITED","CDL","Real Estate"
"CANYON RESOURCES LIMITED","CAY","Materials"
"CAPE ALUMINA LIMITED","CBX","Materials"
"CAPE LAMBERT RESOURCES LIMITED","CFE","Materials"
"CAPE RANGE LIMITED","CAG","Telecommunication Services"
"CAPITAL MINING LIMITED","CMY","Materials"
"CAPITOL HEALTH LIMITED","CAJ","Health Care Equipment & Services"
"CAPRAL LIMITED","CAA","Materials"
"CAR PARKING TECHNOLOGIES LIMITED","CPZ","Technology Hardware & Equipment"
"CARABELLA RESOURCES LIMITED","CLR","Energy"
"CARBINE RESOURCES LIMITED","CRB","Materials"
"CARBON CONSCIOUS LIMITED","CCF","Commercial & Professional Services"
"CARBON ENERGY LIMITED","CNX","Energy"
"CARBON MINERALS LIMITED","CRM","Energy"
"CARBON POLYMERS LIMITED","CBP","Materials"
"CARDIA BIOPLASTICS LIMITED","CNN","Capital Goods"
"CARDNO LIMITED","CDD","Capital Goods"
"CAREERS MULTILIST LIMITED","CGR","Commercial & Professional Services"
"CARINDALE PROPERTY TRUST","CDP","Real Estate"
"CARLTON INVESTMENTS LIMITED","CIN","Diversified Financials"
"CARNARVON PETROLEUM LIMITED","CVN","Energy"
"CARNAVALE RESOURCES LIMITED","CAV","Materials"
"CARNEGIE WAVE ENERGY LIMITED","CWE","Utilities"
"CARPATHIAN RESOURCES LIMITED","CPN","Energy"
"CARPENTARIA EXPLORATION LIMITED","CAP","Materials"
"CARRICK GOLD LIMITED","CRK","Materials"
"CARSALES.COM LIMITED","CRZ","Software & Services"
"CASH CONVERTERS INTERNATIONAL","CCV","Retailing"
"CASPIAN OIL & GAS LIMITED","CIG","Energy"
"CASTLE MINERALS LIMITED","CDT","Materials"
